home_club,away_club,home_goals,away_goals,home_yellow_cards,away_yellow_cards,ano
Fluminense,Figueirense,3,0,0,2,2014
Internacional,EC Vitória,1,0,2,3,2014
Chapecoense,Coritiba,0,0,0,1,2014
Athletico-PR,Grêmio,1,0,1,2,2014
São Paulo,Botafogo,3,0,1,2,2014
Bahia,Cruzeiro,1,2,4,4,2014
Atlético-MG,Corinthians,0,0,0,0,2014
Flamengo,Goiás,0,0,4,2,2014
Santos,Sport Recife,1,1,1,3,2014
Criciúma,Palmeiras,1,2,3,5,2014
Coritiba,Santos,0,0,3,4,2014
Palmeiras,Fluminense,0,1,1,2,2014
Botafogo,Internacional,2,2,2,4,2014
EC Vitória,Athletico-PR,2,2,1,1,2014
Corinthians,Flamengo,2,0,2,1,2014
Cruzeiro,São Paulo,1,1,2,1,2014
Figueirense,Bahia,0,2,3,2,2014
Grêmio,Atlético-MG,2,1,3,3,2014
Goiás,Criciúma,1,0,0,1,2014
Sport Recife,Chapecoense,2,1,1,1,2014
Santos,Grêmio,0,0,1,1,2014
Athletico-PR,Cruzeiro,2,3,3,3,2014
São Paulo,Coritiba,2,2,3,3,2014
Fluminense,EC Vitória,1,2,1,1,2014
Criciúma,Figueirense,1,0,1,5,2014
Internacional,Sport Recife,2,1,2,2,2014
Bahia,Botafogo,1,0,4,4,2014
Flamengo,Palmeiras,4,2,2,4,2014
Chapecoense,Corinthians,0,1,3,3,2014
Atlético-MG,Goiás,0,1,2,1,2014
Internacional,Athletico-PR,2,1,3,1,2014
Palmeiras,Goiás,2,0,5,4,2014
Botafogo,Criciúma,6,0,1,5,2014
Chapecoense,Grêmio,1,2,2,4,2014
Fluminense,Flamengo,2,0,2,4,2014
Atlético-MG,Cruzeiro,2,1,5,2,2014
São Paulo,Corinthians,1,1,3,2,2014
Figueirense,Santos,0,2,2,1,2014
Coritiba,Sport Recife,0,1,3,1,2014
Bahia,EC Vitória,1,1,3,3,2014
Goiás,Botafogo,2,0,3,0,2014
Cruzeiro,Coritiba,3,2,2,1,2014
Grêmio,Fluminense,1,0,3,2,2014
Corinthians,Figueirense,0,1,4,3,2014
Flamengo,São Paulo,0,2,1,1,2014
Athletico-PR,Chapecoense,1,1,2,2,2014
EC Vitória,Palmeiras,0,1,0,0,2014
Criciúma,Internacional,0,0,2,3,2014
Santos,Atlético-MG,1,2,3,3,2014
Sport Recife,Bahia,1,0,6,4,2014
Coritiba,Internacional,1,1,3,6,2014
Flamengo,Bahia,1,1,3,1,2014
Cruzeiro,Sport Recife,2,0,0,0,2014
Criciúma,Chapecoense,1,0,1,0,2014
Corinthians,Athletico-PR,1,1,1,5,2014
Fluminense,São Paulo,5,2,1,4,2014
Grêmio,Botafogo,2,1,2,3,2014
Palmeiras,Figueirense,1,0,2,3,2014
Goiás,Santos,2,2,3,2,2014
EC Vitória,Atlético-MG,2,3,2,2,2014
Bahia,Fluminense,0,1,1,0,2014
São Paulo,Grêmio,1,0,4,2,2014
Santos,Flamengo,0,0,2,3,2014
Figueirense,Goiás,0,1,1,2,2014
Sport Recife,Corinthians,1,4,3,1,2014
Athletico-PR,Coritiba,2,0,3,5,2014
Internacional,Cruzeiro,1,3,1,2,2014
Botafogo,EC Vitória,1,1,4,4,2014
Chapecoense,Palmeiras,2,0,2,2,2014
Atlético-MG,Criciúma,0,0,2,2,2014
Criciúma,Coritiba,1,0,5,5,2014
Palmeiras,Botafogo,0,2,1,3,2014
Sport Recife,Grêmio,0,0,1,2,2014
Internacional,Chapecoense,2,0,2,4,2014
Goiás,EC Vitória,0,0,0,0,2014
Corinthians,Cruzeiro,1,0,2,0,2014
Athletico-PR,São Paulo,2,2,2,1,2014
Atlético-MG,Fluminense,2,0,7,4,2014
Flamengo,Figueirense,1,1,0,1,2014
Bahia,Santos,0,2,4,2,2014
Coritiba,Goiás,3,0,4,2,2014
São Paulo,Atlético-MG,2,1,3,2,2014
EC Vitória,Sport Recife,0,1,4,3,2014
Grêmio,Palmeiras,0,0,3,5,2014
Chapecoense,Bahia,2,1,4,3,2014
Cruzeiro,Flamengo,3,0,0,1,2014
Fluminense,Internacional,1,1,2,3,2014
Santos,Criciúma,2,0,2,4,2014
Figueirense,Athletico-PR,1,3,4,4,2014
Botafogo,Corinthians,1,0,3,2,2014
Corinthians,Botafogo,1,1,0,3,2014
Goiás,Coritiba,3,0,2,2,2014
Palmeiras,Grêmio,2,1,1,5,2014
Flamengo,Cruzeiro,3,0,2,2,2014
Bahia,Chapecoense,0,1,1,2,2014
Internacional,Fluminense,2,1,3,3,2014
Atlético-MG,São Paulo,1,0,0,1,2014
Athletico-PR,Figueirense,3,0,2,3,2014
Sport Recife,EC Vitória,1,2,2,4,2014
Criciúma,Santos,3,0,4,1,2014
Grêmio,Goiás,0,0,1,4,2014
Coritiba,Figueirense,0,2,1,2,2014
Sport Recife,Botafogo,1,0,1,2,2014
Criciúma,Fluminense,3,2,2,2,2014
Bahia,São Paulo,0,2,4,4,2014
Flamengo,Athletico-PR,1,2,1,3,2014
Corinthians,Internacional,2,1,3,4,2014
Santos,Palmeiras,2,0,1,3,2014
Cruzeiro,EC Vitória,3,1,0,3,2014
Chapecoense,Atlético-MG,1,1,1,1,2014
