temporada_id;atleta_id;rodada_id;clube_id;posicao_id;status_id;atleta_preco;atleta_var;atleta_jogos;SC_G;SC_DP;SC_SG;SC_A;SC_FT;SC_FD;SC_DS;SC_PS;SC_DE;SC_V;SC_FF;SC_FS;SC_PP;SC_GC;SC_CV;SC_CA;SC_GS;SC_PC;SC_FC;SC_I;atleta_pontos;atleta_pt_acum;atleta_pt_med;clube_mand;clube_gol_pro;clube_gol_cont;clube_gol_marc;clube_gol_sof;clube_rod_pt;clube_pt;clube_saldo;clube_pos;clube_pt_5_rod;adv_gol_marc;adv_gol_sof;adv_rod_pt;adv_pt;adv_saldo;adv_pos;adv_pt_5_rod
2023;37281;1;285;6;7;10,68;-1,32;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;10;1;1;1;1;1;0;8;1
2023;37281;2;285;6;7;11,03;0,35;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0,5;1;2;1;3;2;3;3;1;9;4;4;2;0;4;2;4;3
2023;37281;3;285;6;7;11,66;0,63;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0,67;1;1;0;4;2;3;4;2;8;7;3;4;0;3;-1;15;3
2023;37281;4;285;6;7;11,41;-0,25;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0,5;0;0;2;4;4;0;4;0;15;7;7;3;3;7;4;11;7
2023;37281;5;285;6;7;10,67;-0,74;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0,4;1;0;2;4;6;0;4;-2;18;7;7;5;3;7;2;7;9
2023;37281;6;285;6;7;10,59;-0,08;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0,33;0;0;2;4;8;0;4;-4;20;6;9;5;3;9;4;9;10
2023;37281;7;285;6;7;10,71;0,12;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0,29;0;1;3;5;11;0;5;-6;20;3;10;10;3;10;0;3;8
2023;37281;8;285;6;7;11,62;0,91;8;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;3;0,38;1;2;0;7;11;3;7;-4;16;3;9;14;0;9;-5;16;4
2023;37281;9;285;6;7;10,92;-0,07;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0,33;0;1;1;8;12;1;8;-4;16;4;9;8;1;9;1;17;8
2023;37281;10;285;6;7;11,13;0,21;10;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;4;0,4;1;2;1;10;13;3;10;-3;14;7;10;19;0;10;-9;18;0
2023;37281;11;285;6;7;11,52;0,39;11;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;5;0,45;0;1;0;11;13;3;11;-2;14;10;8;21;0;8;-13;19;2
2023;37281;12;285;6;7;11,57;0,05;12;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;6;0,5;0;2;1;13;14;3;13;-1;12;13;13;27;0;13;-14;20;4
2023;37281;13;285;6;7;11,43;-0,14;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0,46;1;0;0;13;14;1;13;-1;14;11;15;11;1;15;4;12;5
2023;37281;14;285;6;7;1,1;-0,43;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0,43;0;0;2;13;16;0;13;-3;17;10;21;14;3;21;7;5;8
2023;37281;15;285;6;7;11,55;0,55;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0,4;1;0;0;13;16;1;13;-3;18;8;25;13;1;25;12;2;3
2023;37656;1;266;1;7;1,29;-0,01;1;0;0;5;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;7;7;7;0;3;0;3;0;3;3;3;2;3;0;3;0;0;-3;20;0
2023;37656;2;266;1;7;13,17;0,27;2;0;0;5;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;7;14;7;1;2;0;5;0;3;5;5;1;6;2;2;0;2;0;7;3
2023;37656;3;266;1;7;14,36;1,19;3;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;-4;0;0;0;9;23;7,67;0;2;4;7;4;0;7;3;3;6;8;3;3;8;5;8;7
2023;37656;4;266;1;7;12,32;-2,04;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;-1;22;5,5;1;1;1;8;5;1;8;3;4;7;5;5;1;5;0;18;5
2023;37656;5;266;1;7;14,08;1,76;5;0;0;5;0;0;0;0;0;6;0;0;0,5;0;0;0;-1;0;0;0;0;10,5;32,5;6,5;0;2;0;10;5;3;10;5;3;10;7;5;0;7;2;12;9
2023;37656;6;266;1;7;1,38;-0,28;6;0;0;5;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;7;39,5;6,58;1;2;0;12;5;3;12;7;3;10;5;12;0;5;-7;10;4
2023;37656;7;266;1;7;13,53;-0,27;7;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;-1;0;0;0;5;44,5;6,36;0;0;1;12;6;0;12;6;4;7;14;6;3;14;8;1;12
2023;37656;8;266;1;7;12,56;-0,97;8;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;-2;0;0;0;0;44,5;5,56;0;0;2;12;8;0;12;4;9;7;8;12;3;8;-4;13;5
2023;37656;9;266;1;7;12,76;0,02;9;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;-1;0;0;0;3;47,5;5,28;1;2;1;14;9;3;14;5;5;9;14;13;0;14;1;6;8
2023;37656;10;266;1;7;12,78;0,02;10;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;-1;-2;0;0;0;4;51,5;5,15;0;2;2;16;11;1;16;5;4;7;9;18;1;9;-9;15;5
2023;37656;11;266;1;7;13,04;0,26;11;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;-1;0;0;0;5;56,5;5,14;1;1;1;17;12;1;17;5;5;5;15;9;1;15;6;9;9
2023;37656;12;266;1;7;12,33;-0,71;12;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;-1;0;0;0;1;57,5;4,79;1;2;1;19;13;3;19;6;6;8;13;18;0;13;-5;16;5
2023;37656;13;266;1;7;12,21;-0,12;13;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;-1;0;0;0;2;59,5;4,58;0;0;1;19;14;0;19;5;6;8;18;13;3;18;5;11;6
2023;37656;14;266;1;7;12,76;0,55;14;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;64,5;4,61;1;2;0;21;14;3;21;7;6;8;13;16;0;13;-3;14;10
2023;37656;15;266;1;7;1,32;0,44;15;0;0;5;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;8;72,5;4,83;1;0;0;21;14;1;21;7;7;8;27;18;1;27;9;4;8
2023;37656;16;266;1;7;12,18;-1,02;16;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;-2;0;0;0;1;73,5;4,59;0;0;2;21;16;0;21;5;8;7;16;28;3;16;-12;19;10
2023;37656;17;266;1;7;12,74;0,56;17;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;78,5;4,62;1;1;0;22;16;3;22;6;8;7;18;26;0;18;-8;17;4
2023;37656;18;266;1;7;12,76;0,02;18;0;0;0;0;0;0;0;0;5;0;0;0,5;0;0;0;0;-1;0;0;0;4,5;83;4,61;1;2;1;24;17;3;24;7;7;10;33;17;0;33;16;2;8
2023;37656;19;266;1;7;12,19;-0,57;19;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;-2;0;0;0;1;84;4,42;0;1;2;25;19;0;25;6;7;7;28;23;3;28;5;3;8
2023;37656;20;266;1;7;12,06;-0,13;20;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;-1;0;0;0;1;85;4,25;1;3;1;28;20;3;28;8;6;9;20;44;0;20;-24;20;1
2023;37865;1;277;5;6;3,35;-0,65;1;0;0;0;0;0;0;1,2;0;0;0;0;0;0;0;0;0;0;0;0;0;1,2;1,2;1,2;0;0;1;0;1;0;0;-1;17;0;1;0;3;1;1;3;1
2023;37865;2;277;5;6;2,53;-0,82;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,2;0,6;1;0;0;0;1;1;0;-1;18;1;1;2;1;1;-1;9;1
2023;37865;3;277;5;6;2,53;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,2;0,6;1;3;2;3;3;3;3;0;12;4;2;9;0;2;-7;20;0
2023;37865;4;277;5;6;2,53;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,2;0,6;0;1;2;4;5;0;4;-1;16;4;7;3;3;7;4;12;9
2023;37865;5;277;5;6;2,53;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,2;0,6;1;3;0;7;5;3;7;2;8;7;6;8;0;6;-2;16;6
2023;37865;6;277;5;6;2,53;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,2;0,6;0;1;0;8;5;3;8;3;11;10;6;7;0;6;-1;18;3
2023;37865;7;277;5;6;2,53;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,2;0,6;1;0;0;8;5;1;8;3;13;10;16;6;1;16;10;2;11
2023;37865;8;277;5;6;2,19;-0,34;3;0;0;0;0;0;1,2;0;0;0;0;0;0,5;0;0;0;0;0;0;-0,3;-0,2;1,2;2,4;0,8;0;0;2;8;7;0;8;1;13;7;13;11;3;13;2;6;9
2023;37865;9;277;5;6;2,23;0,04;4;0;0;0;0;0;0;0;0;0;0;1,6;0;0;0;0;0;0;0;-0,3;0;1,3;3,7;0,93;1;1;1;9;8;1;9;1;12;8;8;12;1;8;-4;14;4
2023;37865;10;277;5;6;2,24;0,01;5;0;0;0;0;0;0;1,2;0;0;0;0;0;0;0;0;0;0;0;0;0;1,2;4,9;0,98;0;0;0;9;8;1;9;1;16;6;8;20;1;8;-12;19;2
2023;37865;11;277;5;6;2,24;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,9;0,98;1;0;2;9;10;0;9;-1;18;3;11;15;3;11;-4;13;7
2023;37865;12;277;5;6;1,96;-0,28;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,3;0;-0,3;4,6;0,77;1;2;3;11;13;0;11;-2;15;2;24;17;3;24;7;4;10
2023;37865;13;277;5;6;1,83;-0,13;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,6;0;-0,6;4;0,57;0;0;3;11;16;0;11;-5;16;2;12;16;3;12;-4;10;7
2023;37865;14;277;5;6;1,69;-0,14;8;0;0;0;0;0;0;0;0;0;0;0,8;0;0;0;0;-1;0;0;-0,9;0;-1,1;2,9;0,36;1;4;3;15;19;3;15;-4;13;4;14;26;0;14;-12;15;4
2023;37865;15;277;5;6;1,69;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,9;0,36;0;1;4;16;23;0;16;-7;12;3;22;14;3;22;8;11;10
2023;37865;16;277;5;6;1,69;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,9;0,36;1;2;2;18;25;1;18;-7;10;4;28;9;1;28;19;1;13
2023;37865;17;277;5;6;1,69;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,9;0,36;0;0;1;18;26;0;18;-8;12;4;22;16;3;22;6;5;7
2023;37865;18;277;5;6;1,69;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,9;0,36;1;1;1;19;27;1;19;-8;12;5;26;22;1;26;4;7;8
2023;37865;19;277;5;6;1,82;0,13;9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-0,3;0;0,7;3,6;0,4;0;0;4;19;31;0;19;-12;14;2;21;19;3;21;2;8;3
2023;37865;20;277;5;6;1,82;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,6;0,4;1;2;1;21;32;3;21;-11;14;5;29;25;0;29;4;3;7
2023;38144;1;276;2;7;6,06;0,06;1;0;0;0;0;0;0;2,4;0;0;0;0;1;0;0;0;0;0;0;0;0;3,4;3,4;3,4;0;1;2;1;2;0;1;-1;13;1;2;1;3;2;1;1;2
2023;38144;2;276;2;6;6,06;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,4;3,4;1;3;0;4;2;3;4;2;5;3;0;6;0;0;-6;20;0
2023;38144;3;276;2;7;6,08;0,02;2;0;0;0;0;0;0;3,6;0;0;0;0;0,5;0;0;0;0;0;0;0;0;4,1;7,5;3,75;0;1;1;5;3;1;5;2;7;4;1;7;1;1;-6;19;1
2023;38144;4;276;2;7;6,89;0,81;3;0;0;5;0;0;0;2,4;0;0;0;0;0;0;0;0;-1;0;0;-0,6;0;5,8;13,3;4,43;1;2;0;7;3;3;7;4;5;7;4;4;0;4;0;14;7
2023;38144;5;276;2;7;7,01;0,12;4;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;18,3;4,58;0;0;0;7;3;1;7;4;7;8;9;4;1;9;5;8;9
2023;38144;6;276;2;7;7,62;0,61;5;0;0;0;5;0;0;3,6;0;0;0;0;0;0;0;0;-1;0;-1;0;0;6,6;24,9;4,98;0;1;1;8;4;1;8;4;10;9;6;11;1;6;-5;13;2
2023;38144;7;276;2;2;7,61;-0,01;6;0;0;0;0;0;0;3,6;0;0;0;0;1,5;0;0;0;0;0;0;-0,3;0;4,8;29,7;4,95;1;4;2;12;6;3;12;6;5;9;8;11;0;8;-3;18;2
2023;38144;8;276;2;7;7,55;-0,06;7;0;0;0;0;0;0;2,4;0;0;0;0;1;0;0;0;0;0;0;0;0;3,4;33,1;4,73;1;2;1;14;7;3;14;7;3;11;7;15;0;7;-8;15;4
2023;38144;9;276;2;6;7,55;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33,1;4,73;0;1;2;15;9;0;15;6;4;8;14;12;3;14;2;3;10
2023;38144;10;276;2;7;6,83;-0,72;8;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0,5;33,6;4,2;1;0;2;15;11;0;15;4;5;7;22;8;3;22;14;2;9
2023;38144;11;276;2;7;6,61;-0,22;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,3;0;-0,3;33,3;3,7;1;2;1;17;12;3;17;5;6;9;15;15;0;15;0;7;4
2023;38144;12;276;2;7;6,44;-0,17;10;0;0;0;0;0;0;2,4;0;0;0;0;0,5;0;-3;0;0;0;0;-0,3;0;-0,4;32,9;3,29;0;0;1;17;13;0;17;4;7;6;15;11;3;15;4;12;5
2023;38144;13;276;2;7;8,26;1,82;11;0;0;5;0;0;0;4,8;0;0;0;0;1;0;0;0;0;0;0;-0,3;0;10,5;43,4;3,95;1;1;0;18;13;3;18;5;7;6;19;14;0;19;5;5;8
2023;38144;14;276;2;7;8,26;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43,4;3,95;0;0;0;18;13;1;18;5;7;7;22;14;1;22;8;6;11
2023;38144;15;276;2;7;0,73;-0,96;12;0;0;0;0;0;0;2,4;0;0;0;0,8;0,5;0;0;0;0;0;0;-0,3;0;3,4;46,8;3,9;1;4;1;22;14;3;22;8;5;10;16;23;0;16;-7;17;3
2023;38144;16;276;2;6;0,73;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46,8;3,9;0;1;2;23;16;0;23;7;5;7;16;18;3;16;-2;10;10
2023;38144;17;276;2;7;8,15;0,85;13;0;0;5;0;3;0;0;0;0;0;0;0,5;0;0;0;0;0;0;-0,3;0;8,2;55;4,23;1;0;0;23;16;1;23;7;7;8;15;23;1;15;-8;16;3
2023;38144;18;276;2;3;7,11;-1,04;14;0;0;0;0;0;1,2;1,2;0;0;0;0;0;0;0;0;-1;0;0;-0,6;0;0,8;55,8;3,99;1;0;2;23;18;0;23;5;8;5;21;17;3;21;4;9;4
2023;38144;19;276;2;3;7,11;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55,8;3,99;0;1;1;24;19;1;24;5;8;5;31;24;1;31;7;4;6
2023;38144;20;276;2;6;6,67;-0,44;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;-1;54,8;3,91;1;0;0;24;19;1;24;5;8;3;35;11;1;35;24;1;9
2023;38229;1;264;2;7;5,16;-2,84;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;1;3;2;1;5;2;1;2;0;1;-1;12;1
2023;38229;2;264;2;7;0,5;-0,16;2;0;0;0;0;0;0;3,6;0;0;0;0;2;0;0;0;-1;0;0;-0,6;0;4;4;2;0;1;3;3;4;0;3;-1;11;3;3;3;3;3;0;15;3
2023;38229;3;264;2;7;0,5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;1;2;4;6;0;4;-2;10;3;6;4;3;6;2;2;7
