atleta_id,apelido,clube_id,preco_editorial,escalacoes
69318,Luis Suárez,284,23.0,270608
99815,Arias,266,14.0,228915
89846,Cristaldo,284,8.0,209645
70164,Lucas Moura,276,13.0,202153
112136,Lucas Beraldo,276,4.0,199664
89840,Calleri,276,15.0,184420
112140,Bitello,284,10.0,166086
79631,Cano,266,22.0,162238
40990,Dorival Júnior,276,9.4,157028
94509,Raphael Veiga,275,21.0,152956
91706,Marlon,283,4.0,151671
68928,Rafael,276,8.0,135887
97145,Villasanti,284,4.0,121647
71684,Gustavo Gómez,275,18.0,114039
114802,Vitor Roque,293,9.0,109968
91708,Nino,266,11.0,99426
80313,Gilberto,265,7.0,90813
91664,Adryelson,263,7.0,88199
78850,Reinaldo,284,9.0,83142
73384,Samuel Xavier,266,7.0,73462
