atleta_id;atleta_apelido;posicao_id;clube_id;clube_nome
37656;Fábi;1;266;Fluminense
37865;Bruno Mezenga;5;277;Santos
38144;Rafinha;2;276;São Paul
38229;Fábio Santo;2;264;Corinthians
38279;Wellington Paulista;5;327;América-M
38394;Thiago Heleno;3;293;Athletico-PR
38398;Renato Augusto;4;264;Corinthians
38402;Marcelo;2;266;Fluminense
38545;Felipe Melo;4;266;Fluminense
38750;Filipe Luí;2;262;Flamengo
38877;Mariano;2;282;Atlético-M
39148;Hulk;5;282;Atlético-M
39656;Alan Franco;4;282;Atlético-M
40990;Dorival Júnio;6;276;São Paul
41327;Vanderlei Luxemburgo;6;264;Corinthians
41929;Renato Gaúch;6;284;Grêmi
42116;Willian;5;293;Athletico-PR
42234;Cássi;1;264;Corinthians
42500;Fagner;2;264;Corinthians
43618;Luiz Felipe Scolari;6;282;Atlético-M
49675;Alexandre Pato;5;276;São Paul
50317;David Braz;3;266;Fluminense
50347;Alan Kardec;5;282;Atlético-M
50353;Titi;3;356;Fortaleza
50856;Henrique;3;294;Coritiba
51042;Apodi;2;290;Goiá
51413;Walter;1;1371;Cuiab�
51548;Giuliano;4;264;Corinthians
51772;Everton Ribeiro;4;262;Flamengo
52253;Réve;3;282;Atlético-M
52827;David Luiz;3;262;Flamengo
60793;Alex Teixeira;4;267;Vasco
60825;Felipe Azevedo;5;327;América-M
60852;Uendel;2;1371;Cuiab�
61106;Cicinho;2;265;Bahia
61188;Gilberto;5;283;Cruzeiro
62969;Alan;5;266;Fluminense
62977;Ganso;4;266;Fluminense
63013;Marcos Rocha;2;275;Palmeiras
63024;Fransérgi;4;294;Coritiba
63058;Willian Farias;4;294;Coritiba
63289;Edenílso;4;282;Atlético-M
63354;Rodrigo Moledo;3;285;Internacional
68685;Alan Patrick;4;285;Internacional
68708;Eduardo;4;263;Botafogo
68727;Dod�;2;277;Santos
68770;Camacho;4;277;Santos
68872;Marcelo Lomba;1;275;Palmeiras
68895;Wellington Silva;5;1371;Cuiab�
68917;Vinicius;5;290;Goiá
68920;Dudu;5;275;Palmeiras
