atleta_id,clube_id,posicao_id,status_id,atleta_apelido,rodada_id,atleta_jogos,atleta_preco,atleta_variacao,atleta_min_val,media_num,atleta_pontos
71844,356,5,6,Thiago Galhardo,21,17,6.66,-1.43,1.13,3.41,0.9
102253,290,3,6,Lucas Halter,21,17,5.75,-1.94,2.12,3.39,2.2
98619,294,3,7,Kuscevic,21,16,5.24,1.13,6.65,2.93,8.2
72580,327,1,7,Matheus Cavichioli,21,10,6.54,1.64,7.22,1.72,9.0
80196,356,4,7,Yago Pikachu,21,21,7.51,0.1,1.27,2.49,1.1
95799,275,5,7,Artur,21,20,11.29,0.06,2.1,5.33,2.1
87225,293,3,6,Pedro Henrique,21,11,8.95,0.0,-10.46,3.65,0.0
63013,275,2,7,Marcos Rocha,21,8,5.47,0.15,4.2,3.31,5.0
88393,262,2,7,Ayrton Lucas,21,19,15.52,1.64,9.45,5.22,11.8
72294,282,1,7,Everson,21,20,6.55,0.52,4.25,3.38,5.0
105208,293,1,2,Bento,21,18,9.79,0.0,2.37,4.13,0.0
105175,293,2,6,Khellven,21,14,7.74,0.0,2.77,4.5,0.0
114802,293,5,7,Vitor Roque,21,19,13.7,0.19,8.31,7.85,10.2
86388,327,4,6,Alê,21,14,5.74,0.0,2.88,2.36,0.0
99818,282,5,7,Paulinho,21,19,14.25,2.84,16.69,6.66,21.3
97468,263,2,5,Marçal,21,11,10.71,0.0,6.29,6.02,0.0
84042,263,5,5,Tiquinho Soares,21,17,19.17,0.0,2.47,9.26,0.0
39148,282,5,7,Hulk,21,19,19.44,1.62,12.87,8.74,16.2
78117,265,5,6,Everaldo,21,18,7.78,0.25,1.94,2.33,2.0
42234,264,1,7,Cássio,21,20,7.54,-0.45,1.98,3.21,2.0
94968,280,2,6,Juninho Capixaba,21,19,12.51,0.93,9.58,7.26,11.9
38398,264,4,7,Renato Augusto,21,9,12.83,0.21,5.5,3.78,6.7
61188,283,5,6,Gilberto,21,18,7.77,0.0,-9.06,2.98,0.0
68940,283,1,7,Rafael Cabral,21,20,9.23,-0.54,-1.05,3.66,-2.0
92708,1371,5,7,Deyverson,21,19,8.27,0.36,3.32,5.51,3.7
100652,264,5,7,Yuri Alberto,21,19,10.31,-0.86,4.51,4.54,5.3
87863,262,4,5,Arrascaeta,21,15,13.43,-1.47,1.4,6.25,1.2
51772,262,4,6,Everton Ribeiro,21,16,8.59,-0.29,1.11,3.45,0.9
94583,262,5,6,Pedro,21,17,11.21,-0.21,0.44,3.64,0.0
71571,356,1,6,Fernando Miguel,21,4,10.86,0.0,5.74,5.25,0.0
