rodada_id,partida_id,clube_mand,aprov_mand,posicao_mand,clube_vis,aprov_vis,posicao_vis,placar_mand,placar_vis
8,302744,293,"['v', 'e', 'e', 'v', 'e']",6,284,"['v', 'e', 'd', 'v', 'd']",5,1,2
8,302745,356,"['d', 'd', 'd', 'v', 'v']",8,267,"['d', 'd', 'v', 'e', 'v']",18,2,0
8,302737,262,"['v', 'd', 'e', 'v', 'e']",3,283,"['d', 'e', 'e', 'd', 'e']",12,1,1
8,302746,1371,"['v', 'v', 'v', 'd', 'd']",9,294,"['v', 'd', 'd', 'd', 'd']",19,1,1
8,302739,276,"['d', 'e', 'd', 'e', 'e']",10,290,"['e', 'v', 'v', 'e', 'e']",15,2,1
8,302740,264,"['v', 'e', 'v', 'e', 'e']",13,266,"['d', 'v', 'v', 'd', 'v']",4,2,0
8,302743,285,"['d', 'e', 'd', 'd', 'e']",14,265,"['e', 'e', 'v', 'd', 'v']",16,2,0
8,302741,280,"['e', 'v', 'v', 'e', 'd']",7,277,"['e', 'd', 'e', 'd', 'v']",17,2,0
8,302742,282,"['d', 'd', 'v', 'v', 'd']",11,275,"['v', 'v', 'd', 'v', 'v']",2,1,1
8,302738,263,"['e', 'v', 'e', 'v', 'e']",1,327,"['e', 'd', 'd', 'd', 'd']",20,2,0
