temporada_id;rodada_id;clube_mand_id;partida_id;clube_mand;clube_gol_pro;clube_gol_contra;clube_ca;clube_adv_ca;clube_cv;clube_adv_cv;clube_mand
2015;1;315;2015_1_315;Chapecoense;2;1;2;2;0;0;1
2015;1;275;2015_1_275;Palmeiras;2;2;2;4;0;0;1
2015;1;266;2015_1_266;Fluminense;1;0;2;1;0;1;1
2015;1;284;2015_1_284;Grêmio;3;3;3;5;0;1;1
2015;1;293;2015_1_293;Athletico-PR;3;0;1;2;0;0;1
2015;1;276;2015_1_276;São Paulo;2;1;2;1;0;0;1
2015;1;283;2015_1_283;Cruzeiro;0;1;3;1;0;0;1
2015;1;292;2015_1_292;Sport;4;1;1;3;0;1;1
2015;1;314;2015_1_314;Avaí;1;1;2;2;0;1;1
2015;1;267;2015_1_267;Vasco;0;0;3;5;0;0;1
2015;2;290;2015_2_290;Goiás;2;0;2;1;0;1;1
2015;2;294;2015_2_294;Coritiba;2;0;2;3;0;0;1
2015;2;264;2015_2_264;Corinthians;1;0;2;4;0;0;1
2015;2;316;2015_2_316;Figueirense;0;0;2;6;0;0;1
2015;2;282;2015_2_282;Atlético-MG;4;1;2;1;0;0;1
2015;2;262;2015_2_262;Flamengo;2;2;2;3;0;0;1
2015;2;277;2015_2_277;Santos;1;0;1;4;0;0;1
2015;2;317;2015_2_317;Joinville;0;0;3;1;0;0;1
2015;2;303;2015_2_303;Ponte Preta;1;0;1;3;0;0;1
2015;2;285;2015_2_285;Internacional;1;0;3;7;0;0;1
2015;3;276;2015_3_276;São Paulo;3;0;2;0;0;0;1
2015;3;267;2015_3_267;Vasco;1;1;6;3;0;1;1
2015;3;284;2015_3_284;Grêmio;1;0;6;5;0;0;1
2015;3;275;2015_3_275;Palmeiras;0;1;6;5;1;1;1
2015;3;315;2015_3_315;Chapecoense;1;0;5;6;0;0;1
2015;3;293;2015_3_293;Athletico-PR;1;0;4;0;1;0;1
2015;3;266;2015_3_266;Fluminense;0;0;2;2;0;0;1
2015;3;314;2015_3_314;Avaí;2;1;5;6;0;0;1
2015;3;283;2015_3_283;Cruzeiro;1;1;2;2;0;0;1
2015;3;292;2015_3_292;Sport;1;0;1;4;0;0;1
2015;4;303;2015_4_303;Ponte Preta;3;1;4;2;0;1;1
2015;4;294;2015_4_294;Coritiba;1;2;4;4;0;0;1
2015;4;317;2015_4_317;Joinville;1;2;0;4;0;0;1
2015;4;277;2015_4_277;Santos;2;2;1;2;0;0;1
2015;4;290;2015_4_290;Goiás;1;1;1;1;0;0;1
2015;4;282;2015_4_282;Atlético-MG;3;0;0;3;0;0;1
2015;4;264;2015_4_264;Corinthians;0;2;5;5;0;0;1
2015;4;285;2015_4_285;Internacional;0;0;3;1;0;1;1
2015;4;262;2015_4_262;Flamengo;2;3;6;3;1;1;1
2015;4;316;2015_4_316;Figueirense;2;1;3;6;0;1;1
2015;5;293;2015_5_293;Athletico-PR;1;0;1;4;0;0;1
2015;5;267;2015_5_267;Vasco;0;3;2;3;2;0;1
2015;5;315;2015_5_315;Chapecoense;2;0;3;5;0;0;1
2015;5;276;2015_5_276;São Paulo;3;2;5;3;0;1;1
2015;5;283;2015_5_283;Cruzeiro;1;0;2;3;0;0;1
2015;5;314;2015_5_314;Avaí;1;4;3;3;0;0;1
2015;5;284;2015_5_284;Grêmio;3;1;2;3;0;0;1
2015;5;266;2015_5_266;Fluminense;2;0;1;4;0;0;1
2015;5;292;2015_5_292;Sport;1;0;2;4;0;0;1
2015;5;275;2015_5_275;Palmeiras;1;1;1;4;0;0;1
2015;6;282;2015_6_282;Atlético-MG;1;3;0;0;0;0;1
2015;6;262;2015_6_262;Flamengo;1;0;1;0;0;1;1
2015;6;277;2015_6_277;Santos;2;2;2;2;0;0;1
2015;6;293;2015_6_293;Athletico-PR;2;0;4;3;0;0;1
2015;6;317;2015_6_317;Joinville;0;1;1;1;0;0;1
2015;6;276;2015_6_276;São Paulo;2;0;3;2;0;0;1
2015;6;285;2015_6_285;Internacional;2;0;4;5;1;0;1
2015;6;316;2015_6_316;Figueirense;2;1;3;3;0;0;1
2015;6;290;2015_6_290;Goiás;0;1;2;4;0;0;1
2015;6;266;2015_6_266;Fluminense;0;0;3;2;0;0;1
2015;7;282;2015_7_282;Atlético-MG;2;2;1;4;0;0;1
2015;7;294;2015_7_294;Coritiba;0;1;2;4;0;1;1
2015;7;315;2015_7_315;Chapecoense;0;1;2;4;0;0;1
2015;7;264;2015_7_264;Corinthians;2;1;0;2;0;0;1
2015;7;292;2015_7_292;Sport;2;1;0;4;0;0;1
2015;7;267;2015_7_267;Vasco;1;3;2;4;0;0;1
2015;7;303;2015_7_303;Ponte Preta;0;0;3;3;0;0;1
2015;7;314;2015_7_314;Avaí;1;1;4;3;0;0;1
2015;7;275;2015_7_275;Palmeiras;2;1;0;7;0;2;1
2015;7;284;2015_7_284;Grêmio;2;1;1;4;0;0;1
2015;8;316;2015_8_316;Figueirense;0;0;4;2;0;0;1
2015;8;292;2015_8_292;Sport;2;1;2;3;0;0;1
2015;8;262;2015_8_262;Flamengo;0;2;0;1;0;1;1
2015;8;277;2015_8_277;Santos;1;0;5;4;1;1;1
2015;8;284;2015_8_284;Grêmio;1;0;4;3;0;0;1
2015;8;283;2015_8_283;Cruzeiro;0;1;4;3;0;0;1
2015;8;317;2015_8_317;Joinville;2;1;4;5;1;1;1
2015;8;293;2015_8_293;Athletico-PR;2;2;2;5;0;2;1
2015;8;276;2015_8_276;São Paulo;1;1;1;5;0;0;1
2015;8;266;2015_8_266;Fluminense;2;0;2;3;0;0;1
2015;9;314;2015_9_314;Avaí;1;2;3;3;0;0;1
2015;9;315;2015_9_315;Chapecoense;1;1;1;6;0;0;1
2015;9;264;2015_9_264;Corinthians;2;1;0;2;0;0;1
2015;9;282;2015_9_282;Atlético-MG;1;0;2;1;0;0;1
2015;9;275;2015_9_275;Palmeiras;4;0;1;3;0;0;1
2015;9;290;2015_9_290;Goiás;1;2;2;2;0;1;1
2015;9;303;2015_9_303;Ponte Preta;2;1;1;2;0;0;1
2015;9;294;2015_9_294;Coritiba;1;0;5;5;0;0;1
2015;9;267;2015_9_267;Vasco;1;0;4;0;0;0;1
2015;9;285;2015_9_285;Internacional;1;0;3;3;0;1;1
2015;10;292;2015_10_292;Sport;3;0;2;2;0;1;1
2015;10;267;2015_10_267;Vasco;1;0;3;2;1;1;1
