temporada_id;rodada_id;clube_id;partida_id;clube_nome;clube_gol_pro;clube_gol_contra;clube_ca;clube_adv_ca;clube_cv;clube_adv_cv;clube_mand
2016;1;275;2016_1_275;Palmeiras;4;0;1;4;0;1;1
2016;1;262;2016_1_262;Flamengo;1;0;2;1;0;1;1
2016;1;282;2016_1_282;Atlético-MG;1;0;2;2;0;0;1
2016;1;294;2016_1_294;Coritiba;1;0;1;3;0;2;1
2016;1;344;2016_1_344;Santa Cruz;4;1;3;0;0;0;1
2016;1;263;2016_1_263;Botafogo;0;1;1;5;0;0;1
2016;1;316;2016_1_316;Figueirense;0;0;2;5;0;0;1
2016;1;264;2016_1_264;Corinthians;0;0;1;4;0;0;1
2016;1;327;2016_1_327;América-MG;0;1;0;0;0;0;1
2016;1;285;2016_1_285;Internacional;0;0;3;4;0;1;1
2016;2;303;2016_2_303;Ponte Preta;2;1;3;4;0;0;1
2016;2;266;2016_2_266;Fluminense;2;2;3;5;0;0;1
2016;2;283;2016_2_283;Cruzeiro;2;2;3;1;0;0;1
2016;2;277;2016_2_277;Santos;2;1;5;2;0;0;1
2016;2;293;2016_2_293;Athletico-PR;1;1;3;1;0;0;1
2016;2;287;2016_2_287;Vitória;3;2;5;4;1;0;1
2016;2;315;2016_2_315;Chapecoense;3;1;0;4;0;0;1
2016;2;276;2016_2_276;São Paulo;1;2;4;6;0;1;1
2016;2;284;2016_2_284;Grêmio;1;0;3;2;0;0;1
2016;2;292;2016_2_292;Sport;1;1;3;2;0;0;1
2016;3;316;2016_3_316;Figueirense;2;2;2;3;0;1;1
2016;3;263;2016_3_263;Botafogo;2;1;2;2;0;0;1
2016;3;262;2016_3_262;Flamengo;2;2;4;1;1;0;1
2016;3;327;2016_3_327;América-MG;1;1;4;2;0;1;1
2016;3;344;2016_3_344;Santa Cruz;4;1;2;3;0;0;1
2016;3;275;2016_3_275;Palmeiras;2;0;1;0;0;0;1
2016;3;294;2016_3_294;Coritiba;1;1;2;2;0;0;1
2016;3;264;2016_3_264;Corinthians;3;0;3;3;0;0;1
2016;3;285;2016_3_285;Internacional;1;0;3;1;0;0;1
2016;3;282;2016_3_282;Atlético-MG;0;3;1;5;0;0;1
2016;4;283;2016_4_283;Cruzeiro;1;1;1;1;0;0;1
2016;4;293;2016_4_293;Athletico-PR;2;1;2;1;0;0;1
2016;4;315;2016_4_315;Chapecoense;1;1;1;4;0;0;1
2016;4;303;2016_4_303;Ponte Preta;1;2;2;2;0;1;1
2016;4;292;2016_4_292;Sport;0;2;2;1;0;0;1
2016;4;266;2016_4_266;Fluminense;1;0;1;1;0;0;1
2016;4;287;2016_4_287;Vitória;1;1;4;6;0;0;1
2016;4;276;2016_4_276;São Paulo;1;0;2;5;0;0;1
2016;4;284;2016_4_284;Grêmio;2;0;0;3;0;0;1
2016;4;277;2016_4_277;Santos;0;1;1;1;0;0;1
2016;5;285;2016_5_285;Internacional;1;0;5;2;0;0;1
2016;5;264;2016_5_264;Corinthians;1;0;0;2;0;0;1
2016;5;344;2016_5_344;Santa Cruz;0;1;6;2;1;0;1
2016;5;294;2016_5_294;Coritiba;3;4;4;5;0;0;1
2016;5;282;2016_5_282;Atlético-MG;1;1;2;5;0;0;1
2016;5;316;2016_5_316;Figueirense;1;0;2;1;0;0;1
2016;5;263;2016_5_263;Botafogo;0;1;1;3;0;0;1
2016;5;327;2016_5_327;América-MG;1;2;1;3;0;0;1
2016;5;275;2016_5_275;Palmeiras;4;3;5;4;0;0;1
2016;5;262;2016_5_262;Flamengo;1;0;2;3;0;0;1
2016;6;293;2016_6_293;Athletico-PR;1;0;0;2;0;0;1
2016;6;315;2016_6_315;Chapecoense;0;0;3;0;0;0;1
2016;6;264;2016_6_264;Corinthians;2;1;2;5;0;0;1
2016;6;327;2016_6_327;América-MG;1;0;2;3;0;0;1
2016;6;277;2016_6_277;Santos;3;0;1;1;0;0;1
2016;6;287;2016_6_287;Vitória;1;0;1;6;0;0;1
2016;6;292;2016_6_292;Sport;4;4;1;3;0;0;1
2016;6;262;2016_6_262;Flamengo;1;2;1;2;1;0;1
2016;6;284;2016_6_284;Grêmio;1;0;2;4;1;1;1
2016;6;283;2016_6_283;Cruzeiro;0;1;2;0;0;0;1
2016;7;285;2016_7_285;Internacional;3;1;2;3;0;0;1
2016;7;303;2016_7_303;Ponte Preta;2;1;3;4;0;0;1
2016;7;266;2016_7_266;Fluminense;1;1;4;2;0;1;1
2016;7;276;2016_7_276;São Paulo;1;2;1;2;0;0;1
2016;7;294;2016_7_294;Coritiba;3;2;5;4;1;1;1
2016;7;263;2016_7_263;Botafogo;1;1;3;1;0;0;1
2016;7;282;2016_7_282;Atlético-MG;2;3;4;6;1;3;1
2016;7;275;2016_7_275;Palmeiras;1;0;4;4;0;0;1
2016;7;316;2016_7_316;Figueirense;1;0;2;2;0;0;1
2016;7;344;2016_7_344;Santa Cruz;0;2;1;2;0;0;1
2016;8;276;2016_8_276;São Paulo;2;0;5;2;0;0;1
2016;8;315;2016_8_315;Chapecoense;3;3;2;2;0;0;1
2016;8;303;2016_8_303;Ponte Preta;3;2;0;2;0;0;1
2016;8;277;2016_8_277;Santos;2;0;1;3;0;0;1
2016;8;344;2016_8_344;Santa Cruz;1;0;3;3;0;1;1
2016;8;263;2016_8_263;Botafogo;3;1;2;2;0;0;1
2016;8;294;2016_8_294;Coritiba;2;2;4;3;0;0;1
2016;8;283;2016_8_283;Cruzeiro;0;1;0;0;0;0;1
2016;8;285;2016_8_285;Internacional;2;0;2;1;0;0;1
2016;8;266;2016_8_266;Fluminense;1;0;2;1;0;1;1
2016;9;275;2016_9_275;Palmeiras;3;1;1;4;0;1;1
2016;9;293;2016_9_293;Athletico-PR;1;0;2;1;0;0;1
2016;9;327;2016_9_327;América-MG;2;1;0;3;0;0;1
2016;9;287;2016_9_287;Vitória;1;2;1;4;0;0;1
2016;9;282;2016_9_282;Atlético-MG;3;0;0;1;0;0;1
2016;9;264;2016_9_264;Corinthians;3;1;2;2;0;0;1
2016;9;262;2016_9_262;Flamengo;2;2;1;3;0;1;1
2016;9;316;2016_9_316;Figueirense;3;2;3;0;0;0;1
2016;9;292;2016_9_292;Sport;2;1;2;0;0;0;1
2016;9;284;2016_9_284;Grêmio;2;0;0;2;0;0;1
2016;10;275;2016_10_275;Palmeiras;2;0;0;1;0;0;1
2016;10;303;2016_10_303;Ponte Preta;0;4;4;4;0;0;1
2016;10;263;2016_10_263;Botafogo;0;0;0;1;0;0;1
2016;10;344;2016_10_344;Santa Cruz;0;1;1;0;0;0;1
2016;10;266;2016_10_266;Fluminense;2;4;1;1;0;0;1
2016;10;282;2016_10_282;Atlético-MG;2;1;3;1;0;0;1
2016;10;315;2016_10_315;Chapecoense;0;0;2;2;0;0;1
2016;10;284;2016_10_284;Grêmio;1;2;4;4;1;0;1
2016;10;276;2016_10_276;São Paulo;0;0;0;2;0;0;1
2016;10;294;2016_10_294;Coritiba;1;1;2;5;1;0;1
2016;11;283;2016_11_283;Cruzeiro;2;1;4;2;0;0;1
2016;11;264;2016_11_264;Corinthians;2;1;3;1;0;0;1
2016;11;327;2016_11_327;América-MG;0;1;3;3;0;0;1
2016;11;262;2016_11_262;Flamengo;1;2;0;1;0;0;1
2016;11;287;2016_11_287;Vitória;1;1;3;2;0;0;1
2016;11;293;2016_11_293;Athletico-PR;2;0;1;0;0;1;1
2016;11;285;2016_11_285;Internacional;2;3;4;3;1;0;1
2016;11;277;2016_11_277;Santos;3;0;2;3;0;1;1
2016;11;292;2016_11_292;Sport;5;1;3;2;0;0;1
2016;11;316;2016_11_316;Figueirense;0;0;3;4;0;0;1
2016;12;262;2016_12_262;Flamengo;1;0;1;1;0;0;1
2016;12;287;2016_12_287;Vitória;3;2;4;4;0;2;1
2016;12;284;2016_12_284;Grêmio;3;2;3;3;0;0;1
2016;12;294;2016_12_294;Coritiba;1;0;3;2;0;0;1
2016;12;315;2016_12_315;Chapecoense;3;2;4;6;0;0;1
2016;12;276;2016_12_276;São Paulo;2;1;4;3;0;0;1
2016;12;327;2016_12_327;América-MG;0;2;2;1;0;0;1
2016;12;344;2016_12_344;Santa Cruz;0;3;2;1;0;0;1
