temporada_id;rodada_id;rodada_id;clube_id;clube_nome;clube_vis;clube_mand_gol;clube_vis_gol;clube_mand_ca;clube_vis_ca;clube_mand_cv;clube_vis_cv
2018;1;2018_1_283;283;Cruzeiro;0;1;3;1;0;1;1
2018;1;2018_1_287;287;Vitória;2;2;3;2;0;1;1
2018;1;2018_1_277;277;Santos;2;0;0;1;0;0;1
2018;1;2018_1_327;327;América-MG;3;0;1;3;0;0;1
2018;1;2018_1_267;267;Vasco;2;1;4;3;0;0;1
2018;1;2018_1_285;285;Internacional;2;0;2;0;0;0;1
2018;1;2018_1_264;264;Corinthians;2;1;0;0;0;0;1
2018;1;2018_1_293;293;Athletico-PR;5;1;1;3;0;0;1
2018;1;2018_1_276;276;São Paulo;1;0;4;2;0;0;1
2018;1;2018_1_263;263;Botafogo;1;1;1;4;0;0;1
2018;2;2018_2_265;265;Bahia;1;0;4;3;0;0;1
2018;2;2018_2_262;262;Flamengo;2;0;1;1;0;0;1
2018;2;2018_2_383;383;Paraná;0;4;1;1;0;0;1
2018;2;2018_2_366;366;Ceará;0;0;1;1;0;0;1
2018;2;2018_2_282;282;Atlético-MG;2;1;2;4;0;0;1
2018;2;2018_2_266;266;Fluminense;1;0;3;2;1;0;1
2018;2;2018_2_315;315;Chapecoense;1;1;1;2;0;0;1
2018;2;2018_2_275;275;Palmeiras;1;0;2;2;0;0;1
2018;2;2018_2_284;284;Grêmio;0;0;3;3;0;1;1
2018;2;2018_2_292;292;Sport;1;1;1;3;0;0;1
2018;3;2018_3_263;263;Botafogo;2;1;1;1;0;0;1
2018;3;2018_3_265;265;Bahia;0;0;2;2;0;0;1
2018;3;2018_3_366;366;Ceará;0;3;1;2;0;0;1
2018;3;2018_3_275;275;Palmeiras;0;0;4;6;0;0;1
2018;3;2018_3_383;383;Paraná;1;2;1;1;0;0;1
2018;3;2018_3_282;282;Atlético-MG;1;0;4;3;0;0;1
2018;3;2018_3_266;266;Fluminense;1;1;3;2;0;0;1
2018;3;2018_3_285;285;Internacional;0;0;4;3;0;0;1
2018;3;2018_3_327;327;América-MG;2;1;2;2;1;0;1
2018;3;2018_3_277;277;Santos;1;1;1;3;0;1;1
2018;4;2018_4_267;267;Vasco;4;1;4;4;0;0;1
2018;4;2018_4_276;276;São Paulo;2;2;4;4;0;0;1
2018;4;2018_4_264;264;Corinthians;1;1;2;4;0;0;1
2018;4;2018_4_262;262;Flamengo;2;0;5;4;0;1;1
2018;4;2018_4_283;283;Cruzeiro;1;0;1;4;0;0;1
2018;4;2018_4_293;293;Athletico-PR;1;3;1;2;0;0;1
2018;4;2018_4_287;287;Vitória;1;2;2;1;0;0;1
2018;4;2018_4_284;284;Grêmio;5;1;1;3;0;0;1
2018;4;2018_4_292;292;Sport;2;0;1;2;0;1;1
2018;4;2018_4_315;315;Chapecoense;1;1;1;2;0;1;1
2018;5;2018_5_284;284;Grêmio;0;0;3;4;0;0;1
2018;5;2018_5_283;283;Cruzeiro;2;0;2;3;0;0;1
2018;5;2018_5_293;293;Athletico-PR;1;2;2;2;0;0;1
2018;5;2018_5_267;267;Vasco;2;3;2;3;0;0;1
2018;5;2018_5_264;264;Corinthians;1;0;2;3;0;0;1
2018;5;2018_5_265;265;Bahia;2;2;5;3;0;0;1
2018;5;2018_5_315;315;Chapecoense;3;2;2;3;0;0;1
2018;5;2018_5_277;277;Santos;3;1;1;2;0;0;1
2018;5;2018_5_263;263;Botafogo;2;1;2;2;0;0;1
2018;5;2018_5_366;366;Ceará;2;2;1;3;0;0;1
2018;6;2018_6_282;282;Atlético-MG;1;0;3;2;0;1;1
2018;6;2018_6_262;262;Flamengo;1;1;2;3;2;2;1
2018;6;2018_6_275;275;Palmeiras;3;0;3;2;0;0;1
2018;6;2018_6_287;287;Vitória;2;1;4;0;0;0;1
2018;6;2018_6_276;276;São Paulo;1;0;4;2;1;0;1
2018;6;2018_6_327;327;América-MG;1;0;2;4;0;0;1
2018;6;2018_6_383;383;Paraná;0;0;2;1;0;0;1
2018;6;2018_6_292;292;Sport;1;1;2;3;0;0;1
2018;6;2018_6_266;266;Fluminense;2;0;1;2;0;0;1
2018;6;2018_6_285;285;Internacional;3;0;1;2;0;0;1
2018;7;2018_7_266;266;Fluminense;3;1;1;1;0;0;1
2018;7;2018_7_275;275;Palmeiras;2;3;3;3;0;1;1
2018;7;2018_7_282;282;Atlético-MG;0;1;1;4;0;0;1
2018;7;2018_7_383;383;Paraná;0;0;3;1;0;0;1
2018;7;2018_7_285;285;Internacional;2;1;3;1;0;0;1
2018;7;2018_7_265;265;Bahia;3;0;1;6;0;1;1
2018;7;2018_7_277;277;Santos;0;1;1;4;0;0;1
2018;7;2018_7_263;263;Botafogo;1;1;1;4;0;0;1
2018;7;2018_7_366;366;Ceará;0;1;4;2;0;0;1
2018;7;2018_7_327;327;América-MG;1;3;4;3;0;0;1
2018;8;2018_8_267;267;Vasco;1;0;3;3;1;1;1
2018;8;2018_8_287;287;Vitória;2;3;3;2;0;0;1
2018;8;2018_8_292;292;Sport;3;2;4;2;0;0;1
2018;8;2018_8_315;315;Chapecoense;2;0;2;3;0;0;1
2018;8;2018_8_276;276;São Paulo;3;2;2;3;0;0;1
2018;8;2018_8_284;284;Grêmio;0;0;1;5;0;0;1
2018;8;2018_8_283;283;Cruzeiro;1;0;3;6;0;0;1
2018;8;2018_8_262;262;Flamengo;2;0;0;2;0;0;1
2018;8;2018_8_264;264;Corinthians;1;0;2;3;0;2;1
2018;8;2018_8_293;293;Athletico-PR;2;0;1;1;0;0;1
2018;9;2018_9_285;285;Internacional;0;0;3;3;0;0;1
2018;9;2018_9_282;282;Atlético-MG;3;3;2;4;0;1;1
2018;9;2018_9_267;267;Vasco;1;2;2;4;0;0;1
2018;9;2018_9_275;275;Palmeiras;3;1;4;4;0;0;1
2018;9;2018_9_262;262;Flamengo;1;0;3;1;0;0;1
2018;9;2018_9_265;265;Bahia;0;2;2;5;0;0;1
2018;9;2018_9_327;327;América-MG;3;1;1;2;0;0;1
2018;9;2018_9_277;277;Santos;5;2;0;4;0;0;1
2018;9;2018_9_366;366;Ceará;0;1;2;4;0;0;1
2018;9;2018_9_383;383;Paraná;2;1;6;3;0;0;1
2018;10;2018_10_276;276;São Paulo;0;0;4;2;0;0;1
2018;10;2018_10_287;287;Vitória;1;0;3;2;0;0;1
2018;10;2018_10_263;263;Botafogo;0;0;0;3;0;0;1
2018;10;2018_10_264;264;Corinthians;1;1;3;2;0;0;1
2018;10;2018_10_292;292;Sport;1;0;2;4;0;0;1
2018;10;2018_10_284;284;Grêmio;0;2;2;5;0;0;1
2018;10;2018_10_283;283;Cruzeiro;1;1;1;1;0;0;1
2018;10;2018_10_383;383;Paraná;1;0;4;2;0;0;1
2018;10;2018_10_266;266;Fluminense;0;2;5;2;0;0;1
2018;10;2018_10_327;327;América-MG;1;3;2;2;0;0;1
2018;11;2018_11_293;293;Athletico-PR;0;1;3;3;0;0;1
2018;11;2018_11_315;315;Chapecoense;2;0;2;3;0;0;1
