rodada_id,clube_mand,clube_vis,clube_mand_gol,clube_vis_gol,clube_mand_ca,clube_vis_ca,clube_mand_cv,clube_vis_cv
1,Fortaleza,Athletico-PR,0,2,3,2,1,0
1,Coritiba,Internacional,0,1,3,4,0,0
1,Sport Recife,Ceará SC,3,2,3,3,0,0
1,Santos,Bragantino,1,1,0,1,0,0
1,Flamengo,Atlético-MG,0,1,3,2,0,0
1,Grêmio,Fluminense,1,0,2,3,0,0
1,Corinthians,Atlético-GO,0,0,2,0,0,0
1,Botafogo,Bahia,1,2,2,3,1,0
1,Goiás,São Paulo,0,3,3,0,0,0
1,Palmeiras,Vasco da Gama,1,1,1,1,0,0
2,Athletico-PR,Goiás,2,1,3,3,0,0
2,Atlético-MG,Corinthians,3,2,0,1,0,0
2,Bragantino,Botafogo,1,1,3,1,0,0
2,Bahia,Coritiba,1,0,0,5,0,0
2,Atlético-GO,Flamengo,3,0,1,1,0,1
2,Ceará SC,Grêmio,1,1,3,1,0,0
2,Fluminense,Palmeiras,1,1,3,3,0,0
2,São Paulo,Fortaleza,1,0,1,2,0,0
2,Internacional,Santos,2,0,2,3,0,0
2,Vasco da Gama,Sport Recife,2,0,2,3,0,1
3,Grêmio,Corinthians,0,0,2,3,0,0
3,Coritiba,Flamengo,0,1,5,3,1,0
3,Palmeiras,Goiás,1,1,1,3,0,0
3,Atlético-MG,Ceará SC,2,0,2,4,0,0
3,Bahia,Bragantino,2,1,1,1,0,0
3,Vasco da Gama,São Paulo,2,1,2,5,0,0
3,Fluminense,Internacional,2,1,2,2,0,0
3,Atlético-GO,Sport Recife,1,1,1,2,1,0
3,Fortaleza,Botafogo,0,0,2,1,0,0
3,Santos,Athletico-PR,3,1,1,1,0,0
4,Flamengo,Grêmio,1,1,3,3,0,0
4,Bragantino,Fluminense,2,1,5,5,0,0
4,Athletico-PR,Palmeiras,0,1,5,0,0,0
4,Goiás,Fortaleza,1,3,4,2,0,0
4,Internacional,Atlético-GO,3,0,3,3,1,0
4,Corinthians,Coritiba,3,1,2,1,0,1
4,Botafogo,Atlético-MG,2,1,2,0,0,0
4,Sport Recife,Santos,0,1,5,2,0,0
4,Ceará SC,Vasco da Gama,0,3,3,3,0,0
4,São Paulo,Bahia,1,1,2,2,0,0
5,Athletico-PR,Fluminense,0,1,4,3,0,0
5,Internacional,Atlético-MG,1,0,1,2,0,0
5,Goiás,Atlético-GO,2,0,5,2,0,0
5,Flamengo,Botafogo,1,1,3,3,0,0
5,Vasco da Gama,Grêmio,0,0,5,2,0,0
5,Palmeiras,Santos,2,1,5,3,0,1
5,Bragantino,Coritiba,1,2,2,0,1,0
5,Sport Recife,São Paulo,0,1,2,3,0,0
5,Ceará SC,Bahia,2,0,1,2,0,0
5,Corinthians,Fortaleza,1,1,0,2,0,0
11,São Paulo,Athletico-PR,1,0,2,1,0,0
11,Corinthians,Bahia,3,2,3,2,0,0
11,Fortaleza,Internacional,1,0,1,3,0,0
11,Bragantino,Ceará SC,4,2,4,3,0,0
11,Atlético-GO,Atlético-MG,3,4,2,0,0,0
11,Grêmio,Palmeiras,1,1,2,3,0,0
11,Coritiba,Vasco da Gama,1,0,1,2,0,0
11,Botafogo,Santos,0,0,4,2,0,0
11,Sport Recife,Fluminense,1,0,0,1,0,0
11,Flamengo,Goiás,2,1,1,4,0,0
6,Botafogo,Internacional,0,2,3,1,0,0
6,Fluminense,Vasco da Gama,2,1,4,1,0,1
6,Bahia,Palmeiras,1,1,2,2,0,0
6,Fortaleza,Bragantino,3,0,2,2,0,1
6,São Paulo,Corinthians,2,1,3,0,0,0
6,Coritiba,Sport Recife,1,0,1,4,0,0
6,Santos,Flamengo,0,1,6,7,0,0
6,Atlético-GO,Ceará SC,0,2,1,2,1,0
6,Atlético-MG,Athletico-PR,0,2,1,2,0,0
6,Grêmio,Goiás,2,1,2,2,0,0
7,Ceará SC,Fortaleza,1,0,2,2,0,0
7,Fluminense,Atlético-GO,1,1,3,1,1,0
7,Goiás,Corinthians,1,2,1,3,0,0
7,Botafogo,Coritiba,0,0,1,1,0,0
7,Athletico-PR,Bragantino,1,1,2,2,0,0
7,Bahia,Flamengo,3,5,1,2,0,0
7,Palmeiras,Internacional,1,1,3,5,0,0
7,Santos,Vasco da Gama,2,2,2,3,0,0
7,Grêmio,Sport Recife,1,2,1,5,0,0
7,Atlético-MG,São Paulo,3,0,0,0,0,0
8,Flamengo,Fortaleza,2,1,1,1,0,0
8,Corinthians,Botafogo,2,2,3,1,0,0
8,Ceará SC,Santos,0,1,3,4,2,2
8,Bragantino,Palmeiras,1,2,1,3,1,0
8,Internacional,Bahia,2,2,2,3,0,0
8,São Paulo,Fluminense,3,1,3,0,0,0
8,Vasco da Gama,Athletico-PR,1,0,1,1,0,0
8,Atlético-GO,Grêmio,1,1,1,3,0,1
8,Sport Recife,Goiás,2,1,1,0,0,0
8,Coritiba,Atlético-MG,0,1,1,3,0,0
9,Athletico-PR,Botafogo,1,1,1,0,0,0
9,Fortaleza,Sport Recife,1,0,5,1,0,0
9,Goiás,Coritiba,3,3,5,2,1,1
9,São Paulo,Bragantino,1,1,4,2,0,0
9,Fluminense,Flamengo,1,2,1,1,0,0
9,Santos,Atlético-MG,3,1,1,2,0,1
9,Internacional,Ceará SC,2,0,0,2,0,0
9,Corinthians,Palmeiras,0,2,3,2,2,0
9,Bahia,Grêmio,0,2,1,3,1,1
9,Vasco da Gama,Atlético-GO,1,2,2,1,1,0
10,Athletico-PR,Coritiba,1,0,4,1,0,1
10,Santos,São Paulo,2,2,3,2,0,0
10,Fluminense,Corinthians,2,1,2,4,1,0
10,Grêmio,Fortaleza,1,1,1,2,1,1
10,Atlético-MG,Bragantino,2,1,1,1,0,0
10,Bahia,Atlético-GO,0,1,2,2,1,0
10,Ceará SC,Flamengo,2,0,1,0,0,0
10,Goiás,Internacional,1,0,4,3,1,0
10,Palmeiras,Sport Recife,2,2,2,3,1,1
10,Botafogo,Vasco da Gama,2,3,2,2,0,0
12,Sport Recife,Corinthians,1,0,3,4,0,0
12,Athletico-PR,Bahia,1,0,4,1,0,0
12,Internacional,São Paulo,1,1,2,0,1,0
12,Atlético-MG,Grêmio,3,1,1,1,0,0
12,Vasco da Gama,Bragantino,1,1,2,1,0,0
12,Palmeiras,Flamengo,1,1,4,2,0,0
12,Ceará SC,Goiás,2,2,3,4,0,0
12,Atlético-GO,Botafogo,1,1,2,3,0,0
12,Santos,Fortaleza,1,1,1,1,0,0
12,Fluminense,Coritiba,4,0,1,1,0,1
13,Grêmio,Internacional,1,1,1,1,1,1
13,Palmeiras,Ceará SC,2,1,1,4,0,0
13,Bragantino,Corinthians,0,0,1,2,0,0
13,Botafogo,Fluminense,1,1,0,1,0,0
13,Coritiba,São Paulo,1,1,2,3,0,0
13,Flamengo,Athletico-PR,3,1,3,4,0,0
13,Fortaleza,Atlético-GO,0,0,5,5,0,0
13,Goiás,Santos,2,3,4,3,1,1
13,Bahia,Sport Recife,1,2,2,3,0,0
13,Atlético-MG,Vasco da Gama,4,1,3,3,0,1
14,Corinthians,Santos,1,1,2,2,0,0
14,Flamengo,Sport Recife,3,0,0,3,0,0
14,Bahia,Vasco da Gama,3,0,4,3,0,1
14,Grêmio,Coritiba,2,1,2,2,0,0
14,São Paulo,Atlético-GO,3,0,3,2,0,0
14,Goiás,Fluminense,2,4,3,2,0,0
14,Botafogo,Palmeiras,2,1,4,4,0,0
