temporada_id;rodada_id;partida_id;clube_id;clube_nome;clube_gol_pro;clube_gol_contra;clube_ca;clube_adv_ca;clube_cv;clube_adv_cv;clube_mand
2022;1;2022_1_266;266;Fluminense;0;0;1;0;0;0;1
2022;1;2022_1_373;373;Atlético-GO;1;1;3;2;0;0;1
2022;1;2022_1_275;275;Palmeiras;2;3;4;9;0;1;1
2022;1;2022_1_294;294;Coritiba;3;0;2;4;0;0;1
2022;1;2022_1_263;263;Botafogo;1;3;1;4;0;0;1
2022;1;2022_1_282;282;Atlético-MG;2;0;2;4;0;0;1
2022;1;2022_1_356;356;Fortaleza;0;1;2;3;0;0;1
2022;1;2022_1_314;314;Avaí;1;0;3;3;0;2;1
2022;1;2022_1_276;276;São Paulo;4;0;1;3;0;0;1
2022;1;2022_1_286;286;Juventude;2;2;4;5;0;0;1
2022;2;2022_2_290;290;Goiás;1;1;4;0;0;0;1
2022;2;2022_2_327;327;América-MG;4;1;3;0;0;1;1
2022;2;2022_2_264;264;Corinthians;3;0;1;1;0;0;1
2022;2;2022_2_1371;1371;Cuiabá;0;1;2;1;0;0;1
2022;2;2022_2_277;277;Santos;2;1;2;4;0;0;1
2022;2;2022_2_262;262;Flamengo;3;1;2;6;0;0;1
2022;2;2022_2_293;293;Athletico-PR;0;1;2;3;0;0;1
2022;2;2022_2_285;285;Internacional;2;1;5;5;0;0;1
2022;2;2022_2_280;280;Bragantino;4;0;1;4;0;0;1
2022;2;2022_2_280;280;Bragantino;1;3;1;4;1;0;1
2022;4;2022_4_262;262;Flamengo;0;0;3;4;0;0;1
2022;4;2022_4_366;366;Ceará;0;1;1;5;0;1;1
2022;4;2022_4_327;327;América-MG;1;0;1;0;0;0;1
2022;4;2022_4_290;290;Goiás;2;2;5;4;0;0;1
2022;4;2022_4_1371;1371;Cuiabá;1;1;2;0;0;0;1
2022;4;2022_4_263;263;Botafogo;1;1;2;5;0;0;1
2022;4;2022_4_264;264;Corinthians;1;0;1;3;0;0;1
2022;4;2022_4_294;294;Coritiba;3;2;0;3;0;1;1
2022;4;2022_4_285;285;Internacional;0;0;2;4;0;0;1
2022;4;2022_4_276;276;São Paulo;2;1;2;4;0;0;1
2022;3;2022_3_280;280;Bragantino;1;1;5;2;0;0;1
2022;3;2022_3_293;293;Athletico-PR;1;0;4;2;0;0;1
2022;3;2022_3_275;275;Palmeiras;3;0;1;2;0;0;1
2022;3;2022_3_266;266;Fluminense;0;1;5;3;0;0;1
2022;3;2022_3_282;282;Atlético-MG;2;2;2;1;0;0;1
2022;3;2022_3_277;277;Santos;3;0;2;0;0;0;1
2022;3;2022_3_286;286;Juventude;0;1;2;4;1;0;1
2022;3;2022_3_373;373;Atlético-GO;1;1;2;1;0;0;1
2022;3;2022_3_314;314;Avaí;3;2;5;5;1;0;1
2022;3;2022_3_356;356;Fortaleza;0;1;5;4;1;0;1
2022;5;2022_5_282;282;Atlético-MG;1;2;4;4;0;1;1
2022;5;2022_5_293;293;Athletico-PR;1;0;5;4;0;0;1
2022;5;2022_5_262;262;Flamengo;0;1;1;3;0;0;1
2022;5;2022_5_275;275;Palmeiras;1;1;1;2;0;0;1
2022;5;2022_5_373;373;Atlético-GO;0;1;4;3;0;1;1
2022;5;2022_5_280;280;Bragantino;0;1;1;2;0;0;1
2022;5;2022_5_277;277;Santos;4;1;1;2;0;0;1
2022;5;2022_5_286;286;Juventude;1;1;5;5;0;0;1
2022;5;2022_5_356;356;Fortaleza;1;1;2;3;0;0;1
2022;5;2022_5_314;314;Avaí;2;1;3;3;0;0;1
2022;7;2022_7_280;280;Bragantino;1;1;3;2;1;0;1
2022;7;2022_7_373;373;Atlético-GO;2;0;4;1;0;2;1
2022;7;2022_7_262;262;Flamengo;1;0;1;3;0;0;1
2022;7;2022_7_277;277;Santos;0;0;1;5;0;1;1
2022;7;2022_7_286;286;Juventude;0;3;3;0;0;0;1
2022;7;2022_7_1371;1371;Cuiabá;1;1;2;7;2;0;1
2022;7;2022_7_327;327;América-MG;1;1;2;1;0;0;1
2022;7;2022_7_264;264;Corinthians;1;1;2;3;0;0;1
2022;7;2022_7_356;356;Fortaleza;0;1;1;1;0;0;1
2022;7;2022_7_293;293;Athletico-PR;2;1;2;6;0;0;1
2022;6;2022_6_275;275;Palmeiras;2;0;2;2;0;0;1
2022;6;2022_6_366;366;Ceará;2;2;5;5;0;0;1
2022;6;2022_6_285;285;Internacional;2;2;2;2;0;0;1
2022;6;2022_6_282;282;Atlético-MG;2;0;1;2;0;0;1
2022;6;2022_6_266;266;Fluminense;2;1;3;2;0;0;1
2022;6;2022_6_276;276;São Paulo;2;1;2;1;0;1;1
2022;6;2022_6_294;294;Coritiba;1;0;1;5;0;1;1
2022;6;2022_6_263;263;Botafogo;3;1;3;1;0;1;1
2022;6;2022_6_314;314;Avaí;1;2;2;5;0;2;1
2022;6;2022_6_290;290;Goiás;1;0;0;0;0;0;1
2022;8;2022_8_290;290;Goiás;1;1;2;3;0;1;1
2022;8;2022_8_276;276;São Paulo;2;2;3;5;1;0;1
2022;8;2022_8_356;356;Fortaleza;1;1;2;3;0;0;1
2022;8;2022_8_294;294;Coritiba;1;0;5;3;0;0;1
2022;8;2022_8_277;277;Santos;0;1;5;1;0;0;1
2022;8;2022_8_1371;1371;Cuiabá;0;1;5;0;0;0;1
2022;8;2022_8_264;264;Corinthians;1;1;2;1;0;0;1
2022;8;2022_8_266;266;Fluminense;1;2;3;5;1;1;1
2022;8;2022_8_282;282;Atlético-MG;2;1;3;2;0;1;1
2022;8;2022_8_285;285;Internacional;1;1;1;2;0;0;1
2022;9;2022_9_327;327;América-MG;2;1;0;1;0;0;1
2022;9;2022_9_293;293;Athletico-PR;2;2;5;3;0;0;1
2022;9;2022_9_366;366;Ceará;1;1;1;4;0;0;1
2022;9;2022_9_314;314;Avaí;1;1;2;2;0;0;1
2022;9;2022_9_373;373;Atlético-GO;0;1;3;3;0;0;1
2022;9;2022_9_286;286;Juventude;1;0;3;4;0;1;1
2022;9;2022_9_262;262;Flamengo;1;2;3;4;0;0;1
2022;9;2022_9_275;275;Palmeiras;0;0;1;3;0;0;1
2022;9;2022_9_280;280;Bragantino;0;2;3;3;0;0;1
2022;9;2022_9_263;263;Botafogo;1;2;2;2;0;0;1
2022;10;2022_10_1371;1371;Cuiabá;1;0;1;2;1;0;1
2022;10;2022_10_327;327;América-MG;0;2;2;3;0;0;1
2022;10;2022_10_286;286;Juventude;1;3;2;4;0;0;1
2022;10;2022_10_373;373;Atlético-GO;2;1;1;4;0;1;1
2022;10;2022_10_280;280;Bragantino;1;0;1;4;1;0;1
2022;10;2022_10_266;266;Fluminense;5;3;3;3;0;0;1
2022;10;2022_10_277;277;Santos;1;1;2;1;0;0;1
2022;10;2022_10_275;275;Palmeiras;4;0;1;1;0;0;1
2022;10;2022_10_294;294;Coritiba;1;1;3;3;0;0;1
2022;10;2022_10_356;356;Fortaleza;1;1;1;2;0;0;1
2022;11;2022_11_264;264;Corinthians;2;0;1;4;0;0;1
2022;11;2022_11_282;282;Atlético-MG;1;1;4;4;0;1;1
2022;11;2022_11_266;266;Fluminense;0;2;3;2;1;0;1
