atleta_id,clube_id,posicao_id,status_id,atleta_apelido,rodada_id,atleta_jogos,atleta_preco,atleta_variacao,atleta_min_val,media_num,atleta_pontos
88393,262,2,7,Ayrton Lucas,19,17,14.11,0.21,2.31,5.04,2.4
102253,290,3,6,Lucas Halter,19,16,7.69,2.16,12.74,3.46,16.2
63013,275,2,2,Marcos Rocha,19,6,4.91,0.0,2.2,2.8,0.0
80196,356,4,6,Yago Pikachu,19,19,8.56,0.94,6.05,2.69,7.4
87225,293,3,6,Pedro Henrique,19,11,8.95,0.0,-8.33,3.65,0.0
71844,356,5,6,Thiago Galhardo,19,15,7.13,0.82,4.92,3.09,5.9
90232,276,2,6,Raí Ramos,19,5,4.51,-0.79,0.38,3.16,0.0
107111,275,4,7,Richard Ríos,19,19,5.21,-0.1,2.79,2.36,3.1
95799,275,5,7,Artur,19,18,11.36,-0.79,1.5,5.74,1.3
123907,283,6,7,Pepa,19,19,11.36,-0.47,1.95,5.29,1.89
98619,294,3,7,Kuscevic,19,14,4.2,-0.07,2.25,2.64,2.4
109246,280,5,6,Kawê,19,0,1.0,0.0,1.5,0.0,0.0
117579,276,4,5,Galoppo,19,0,5.0,0.0,1.92,0.0,0.0
98496,1371,1,6,Vinícius Barreta,19,0,1.0,0.0,1.5,0.0,0.0
122393,280,5,6,Talisson,19,1,3.1,0.0,2.27,3.8,0.0
121263,1371,5,6,Gabryel Freitas,19,0,2.0,0.0,1.61,0.0,0.0
72294,282,1,7,Everson,19,18,7.16,1.68,8.04,3.36,10.0
116825,280,2,6,Jhonny,19,0,1.0,0.0,1.5,0.0,0.0
68942,283,3,7,Luciano Castán,19,18,6.03,-0.82,1.13,2.98,0.9
124158,280,5,6,Everton,19,0,1.0,0.0,1.5,0.0,0.0
121779,1371,3,6,Vitão,19,1,1.32,0.0,1.54,0.0,0.0
122420,285,5,6,Lucca,19,12,1.18,0.0,0.49,0.63,0.0
115246,275,3,6,Naves,19,4,1.81,0.0,-1.23,3.65,0.0
109102,293,4,6,Daniel Martins,19,0,1.0,0.0,1.5,0.0,0.0
113663,275,5,6,Kevin,19,0,1.0,0.0,1.5,0.0,0.0
94845,282,4,7,Battaglia,19,16,4.54,0.1,1.09,1.59,0.9
99412,290,4,7,Morelli,19,15,5.94,0.24,2.33,3.31,2.5
95556,1371,4,7,Raniele,19,17,12.07,0.0,3.18,5.24,0.0
105531,264,2,6,Matheus Bidu,19,12,5.31,-0.48,-0.03,3.07,-0.6
113154,282,2,6,Kauan,19,0,1.0,0.0,1.5,0.0,0.0
69325,285,4,2,Aránguiz,19,7,6.98,-0.05,0.91,1.2,0.7
115248,275,4,2,Jhon Jhon,19,12,1.51,-0.02,1.38,1.71,1.3
112370,1371,5,6,Emerson Ramon,19,9,4.11,0.0,0.64,2.24,0.0
115915,266,5,6,Lelê,19,17,8.91,0.0,-1.17,3.26,0.0
115870,280,2,6,Jonathan,19,0,1.0,0.0,1.5,0.0,0.0
106977,356,3,6,Bernardo Schappo,19,0,4.0,0.0,1.82,0.0,0.0
124239,280,5,5,Henry Mosquera,19,10,7.2,0.0,14.91,3.78,0.0
73781,290,5,7,Guilherme Marques,19,13,5.05,1.04,5.3,4.02,6.4
124249,282,2,6,Léo Santos,19,0,1.0,0.0,1.5,0.0,0.0
124250,282,5,6,Pedro Ataíde,19,0,1.0,0.0,1.5,0.0,0.0
72497,285,4,5,Gustavo Campanharo,19,11,5.56,0.0,3.46,2.65,0.0
72605,265,3,7,Vitor Hugo,19,13,6.19,0.28,4.21,2.98,5.0
106434,280,3,5,Eduardo Santos,19,13,5.87,0.0,4.37,3.85,0.0
116046,282,4,6,Vitor Graziani,19,0,1.0,0.0,1.5,0.0,0.0
116048,263,4,6,Raí,19,1,2.11,0.0,1.62,0.0,0.0
110055,263,4,6,Matías Segovia,19,13,4.66,0.0,2.24,2.22,0.0
124251,277,5,6,Deivid Washington,19,9,3.63,0.0,-2.2,4.05,0.0
115239,262,2,7,Wesley,19,19,8.96,0.6,3.39,4.79,3.8
93797,327,2,7,Marcinho,19,10,2.83,0.0,0.15,1.42,0.0
104521,356,4,6,Vinícius Zanocelo,19,6,3.32,0.0,0.43,0.68,0.0
115025,277,4,6,Miguelito,19,2,1.57,0.0,1.86,1.25,0.0
111819,284,2,6,Thomas Luciano,19,6,5.46,0.0,-4.53,3.5,0.0
124340,1371,3,6,Allyson,19,5,4.29,0.0,4.43,3.46,0.0
109404,293,5,6,Thiago Andrade,19,8,2.65,0.0,-2.73,0.73,0.0
118238,284,4,7,Ronald,19,3,1.6,0.66,2.81,3.8,3.2
103014,280,5,6,Laquintana,19,2,3.67,0.0,0.74,1.75,0.0
111839,266,3,6,Felipe Andrade,19,4,1.6,0.0,4.27,1.45,0.0
124313,275,2,6,Ian,19,0,1.0,0.0,1.5,0.0,0.0
121792,284,5,2,André,19,11,1.84,0.0,0.16,2.15,0.0
122602,276,3,6,Matheus Belém,19,1,1.86,0.0,2.49,6.2,0.0
116461,294,2,7,Jamerson,19,17,6.56,0.0,1.89,3.23,0.0
123610,275,4,6,Pedro Lima,19,0,1.0,0.0,1.5,0.0,0.0
37865,277,5,6,Bruno Mezenga,19,9,1.82,0.13,0.9,0.4,0.7
107801,284,3,6,Natã,19,1,0.75,0.0,1.5,0.2,0.0
93702,277,2,7,Gabriel Inocêncio,19,16,7.25,0.6,3.87,4.0,4.5
116282,294,4,6,Gabriel Silva,19,0,1.0,0.0,1.5,0.0,0.0
123153,284,5,6,Zinho,19,7,3.45,0.0,0.66,1.8,0.0
124358,294,2,6,João Vitor,19,0,1.0,0.0,1.5,0.0,0.0
123022,264,5,6,Pedro,19,5,1.48,0.0,0.28,1.3,0.0
107740,285,1,6,Emerson Júnior,19,0,1.0,0.0,1.5,0.0,0.0
73479,285,5,6,Jean Dias,19,10,3.14,-0.27,0.77,2.23,-0.1
108352,285,5,6,Gabriel Barros,19,2,2.08,0.0,-2.8,-0.65,0.0
91190,1371,2,6,PK,19,7,4.04,0.0,1.85,1.94,0.0
107416,277,4,6,Luan Dias,19,8,2.02,-0.25,0.38,0.61,0.0
121830,263,5,2,Janderson,19,8,1.41,-0.02,0.46,1.03,0.1
87603,327,1,6,Mateus Pasinato,19,10,3.03,0.0,1.01,2.6,0.0
124247,282,5,6,Isaac,19,1,1.1,0.0,1.47,-0.3,0.0
105911,285,4,5,Rômulo,19,11,3.85,0.0,2.44,3.96,0.0
123359,282,5,6,Cadu,19,1,0.95,0.0,1.67,1.2,0.0
123713,275,4,5,Luis Guilherme,19,12,2.36,0.1,2.15,1.82,2.3
121821,264,3,7,Murillo,19,13,2.83,0.0,2.24,2.67,2.4
122233,284,5,6,Ronald Barcellos,19,0,3.0,0.0,1.71,0.0,0.0
70800,262,6,7,Jorge Sampaoli,19,18,11.73,0.34,3.35,5.55,3.75
118752,267,4,6,Mateus Carvalho,19,5,2.6,0.0,1.39,1.8,0.0
104991,263,1,6,Igo Gabriel,19,0,1.0,0.0,1.5,0.0,0.0
110947,266,4,6,Gustavo Apis,19,0,2.0,0.0,1.61,0.0,0.0
122439,266,4,6,Isaac,19,3,0.95,0.0,1.49,0.9,0.0
40990,276,6,7,Dorival Júnior,19,18,11.27,0.15,3.18,5.22,3.51
104640,294,4,7,Matheus Bianqui,19,12,3.58,0.32,3.14,2.34,3.6
118501,262,2,6,Zé Welinton,19,0,1.0,0.0,1.5,0.0,0.0
104420,293,5,6,Reinaldo,19,1,2.39,0.0,1.89,1.7,0.0
121766,267,2,6,Paulinho Silva,19,0,1.0,0.0,1.5,0.0,0.0
105845,264,4,6,Matheus Araújo,19,9,5.64,0.0,2.36,1.95,0.0
111309,284,3,7,Gustavo Martins,19,10,2.79,0.19,1.33,2.84,1.2
104424,284,1,6,Felipe Scheibig,19,0,1.0,0.0,1.5,0.0,0.0
123717,284,2,6,Zé Guilherme,19,0,1.0,0.0,1.5,0.0,0.0
41327,264,6,7,Vanderlei Luxemburgo,19,15,8.77,0.68,6.18,4.91,7.5
115671,284,4,6,Mila,19,8,1.0,0.0,0.9,0.61,0.0
105909,265,5,2,Vinicius Mingotti,19,11,2.32,-0.34,0.17,1.65,-0.3
69022,293,5,6,Marcelo Cirino,19,4,3.44,0.0,1.21,0.6,0.0
123054,265,1,6,Tiago Gomes,19,0,1.0,0.0,1.5,0.0,0.0
111763,263,4,6,JP Galvão,19,0,1.0,0.0,1.5,0.0,0.0
115268,282,3,6,Rômulo,19,0,1.0,0.0,1.5,0.0,0.0
106832,276,4,6,Pedro Vilhena,19,0,1.0,0.0,1.5,0.0,0.0
117909,264,5,7,Wesley,19,8,4.62,1.41,8.15,3.29,10.2
111408,264,5,6,Felipe Augusto,19,5,1.21,0.0,-0.1,0.24,0.0
122293,294,3,6,Thiago Dombroski,19,4,0.71,0.0,-0.85,1.08,0.0
111891,264,4,6,Guilherme Biro,19,8,3.78,0.0,2.86,2.79,0.0
124690,282,4,6,Paulo Vitor,19,1,1.04,0.0,1.5,1.1,0.0
