atleta_id,clube_id,posicao_id,status_id,atleta_apelido,rodada_id,atleta_jogos,atleta_preco,atleta_variacao,atleta_min_val,media_num,atleta_pontos,CA,DS,FC,FS,FT,SG,FD,FF,G,I,PS,A,CV,PC,V,DE,GS,PP,DP,GC,media_pontos_mandante,media_pontos_visitante,media_minutos_jogados,minutos_jogados,gm_media_CA,gm_media_DS,gm_media_FC,gm_media_FS,gm_media_FT,gm_media_SG,gm_media_FD,gm_media_FF,gm_media_G,gm_media_I,gm_media_PS,gm_media_A,gm_media_CV,gm_media_PC,gm_media_DE,gm_media_GS,gm_media_PP,gm_media_DP,gm_media_GC,gm_man_CA,gm_man_DS,gm_man_FC,gm_man_FS,gm_man_FT,gm_man_SG,gm_man_FD,gm_man_FF,gm_man_G,gm_man_I,gm_man_PS,gm_man_A,gm_man_CV,gm_man_PC,gm_man_DE,gm_man_GS,gm_man_PP,gm_man_DP,gm_man_GC,gm_vis_CA,gm_vis_DS,gm_vis_FC,gm_vis_FS,gm_vis_FT,gm_vis_SG,gm_vis_FD,gm_vis_FF,gm_vis_G,gm_vis_I,gm_vis_PS,gm_vis_A,gm_vis_CV,gm_vis_PC,gm_vis_DE,gm_vis_GS,gm_vis_PP,gm_vis_DP,gm_vis_GC
88393,262,2,7,Ayrton Lucas,19,17,14.11,0.21,2.31,5.04,2.4,4.0,21.0,26.0,21.0,0.0,5.0,3.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.533333333333333,3.3625000000000003,83.0,103.0,0.24,1.24,1.53,1.24,0.0,0.29,0.18,0.24,0.18,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,13.0,11.0,0.0,5.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,13.0,10.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102253,290,3,6,Lucas Halter,19,16,7.69,2.16,12.74,3.46,16.2,4.0,18.0,14.0,4.0,0.0,5.0,0.0,4.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.275,4.65,101.0,100.0,0.25,1.12,0.88,0.25,0.0,0.31,0.0,0.25,0.12,0.12,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,4.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,7.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63013,275,2,2,Marcos Rocha,19,6,4.91,0.0,2.2,2.8,0.0,0.0,10.0,9.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0500000000000003,3.175,66.0,81.0,0.0,1.67,1.5,1.17,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80196,356,4,6,Yago Pikachu,19,19,8.56,0.94,6.05,2.69,7.4,2.0,8.0,6.0,17.0,0.0,0.0,6.0,6.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.1,2.2333333333333325,48.0,26.0,0.11,0.42,0.32,0.89,0.0,0.0,0.32,0.32,0.16,0.11,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,2.0,7.0,3.0,11.0,0.0,0.0,2.0,6.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
87225,293,3,6,Pedro Henrique,19,11,8.95,0.0,-8.33,3.65,0.0,3.0,10.0,14.0,5.0,0.0,4.0,1.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,54.0,0.27,0.91,1.27,0.45,0.0,0.36,0.09,0.45,0.09,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,10.0,2.0,0.0,3.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71844,356,5,6,Thiago Galhardo,19,15,7.13,0.82,4.92,3.09,5.9,3.0,8.0,8.0,12.0,0.0,0.0,8.0,14.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.999999999999999,1.26,81.0,85.0,0.2,0.53,0.53,0.8,0.0,0.0,0.53,0.93,0.13,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,8.0,0.0,0.0,7.0,12.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90232,276,2,6,Raí Ramos,19,5,4.51,-0.79,0.38,3.16,0.0,2.0,4.0,5.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,2.425,61.0,23.0,0.4,0.8,1.0,0.2,0.0,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107111,275,4,7,Richard Ríos,19,19,5.21,-0.1,2.79,2.36,3.1,1.0,23.0,16.0,19.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6444444444444444,2.1,43.0,57.0,0.05,1.21,0.84,1.0,0.0,0.0,0.11,0.21,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,8.0,5.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95799,275,5,7,Artur,19,18,11.36,-0.79,1.5,5.74,1.3,1.0,13.0,8.0,26.0,3.0,0.0,7.0,14.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.199999999999999,6.277777777777777,81.0,69.0,0.06,0.72,0.44,1.44,0.17,0.0,0.39,0.78,0.28,0.28,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,16.0,2.0,0.0,4.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,10.0,1.0,0.0,3.0,9.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123907,283,6,7,Pepa,19,19,11.36,-0.47,1.95,5.29,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
